USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0 168424  9444 ?        Ss   Oct18   0:03 /sbin/init
root           2  0.0  0.0      0     0 ?        S    Oct18   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   Oct18   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   Oct18   0:00 [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   Oct18   0:00 [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   Oct18   0:00 [netns]
root           8  0.0  0.0      0     0 ?        I<   Oct18   0:00 [kworker/0:0H-events_highpri]
root          10  0.0  0.0      0     0 ?        I<   Oct18   0:00 [mm_percpu_wq]
root          11  0.0  0.0      0     0 ?        I    Oct18   0:00 [rcu_tasks_kthread]
root          12  0.0  0.0      0     0 ?        I    Oct18   0:00 [rcu_tasks_rude_kthread]
root          13  0.0  0.0      0     0 ?        I    Oct18   0:00 [rcu_tasks_trace_kthread]
root          14  0.0  0.0      0     0 ?        S    Oct18   0:03 [ksoftirqd/0]
root          15  0.1  0.0      0     0 ?        I    Oct18   2:09 [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    Oct18   0:00 [migration/0]
root          18  0.0  0.0      0     0 ?        S    Oct18   0:00 [cpuhp/0]
root          19  0.0  0.0      0     0 ?        S    Oct18   0:00 [cpuhp/1]
root          20  0.0  0.0      0     0 ?        S    Oct18   0:26 [migration/1]
root          21  0.0  0.0      0     0 ?        S    Oct18   0:04 [ksoftirqd/1]
root          23  0.0  0.0      0     0 ?        I<   Oct18   0:00 [kworker/1:0H-events_highpri]
root          24  0.0  0.0      0     0 ?        S    Oct18   0:00 [cpuhp/2]
root          25  0.0  0.0      0     0 ?        S    Oct18   0:00 [migration/2]
root          26  0.0  0.0      0     0 ?        S    Oct18   0:02 [ksoftirqd/2]
root          28  0.0  0.0      0     0 ?        I<   Oct18   0:00 [kworker/2:0H-events_highpri]
root          29  0.0  0.0      0     0 ?        S    Oct18   0:00 [cpuhp/3]
root          30  0.0  0.0      0     0 ?        S    Oct18   0:25 [migration/3]
root          31  0.0  0.0      0     0 ?        S    Oct18   0:01 [ksoftirqd/3]
root          33  0.0  0.0      0     0 ?        I<   Oct18   0:00 [kworker/3:0H-events_highpri]
root          34  0.0  0.0      0     0 ?        S    Oct18   0:00 [cpuhp/4]
